AST Structure,Fitness Score,Total PnL,Avg Trade,Avg Win,Avg Loss,Largest Win,Largest Loss,Std Win,Std Loss,Max DD,PnL/DD,Max Cons Loss,Sharpe,Sortino,Profit Factor,CPC Index,Corr Coef,Exposure (%),Complexity,Direction,Stop Type,Take Profit,MAP-X,MAP-Y,Fitness Function,In-Sample Pct
"(((((EMA(Close, 200) - EMA(Close, 400)) < (Close - High) AND LinRegSlope(High, 14) < 1) AND Close crosses above Open) AND Low < SMA(Open, 14)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42))))",75.5725,1074.86,8.2051,11.3999,1.6789,52.9748,-6.2545,11.7926,1.7507,9.2707,115.9417,3,0.6999,6.8441,21.0063,107.7897,0.9925,0.2,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((EMA(Close, 200) - EMA(Close, 400)) < (Close - High) AND LinRegSlope(High, 14) < 1) AND Close crosses above Open) AND LinRegSlope(Open, 100) > LinRegSlope(Open, 7)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42))))",79.1667,1041.43,8.6786,11.4321,1.7846,52.9748,-5.6024,11.8165,1.7089,7.5209,138.4722,3,0.7336,7.6953,24.3428,123.4529,0.9912,0.2,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((LinRegSlope((Open * 4.4), 50) < LinRegSlope(High, 50) AND ((Open + Open) + Close) > ((Close + Open) + Low)) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42)))) AND ((Close + High) - Open) crosses above High) AND LinRegSlope((Close + Open), 21) < 1)",82.5243,901.86,8.7559,10.9100,1.4159,189.3952,-4.1354,21.5073,1.1753,4.1354,218.0833,3,0.4357,11.3821,36.3855,231.3622,0.9786,0.1,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((LinRegSlope((Open * 3.5), 50) < LinRegSlope(Close, 100) AND ((Open * 1.7) + (EMA(Open, 200) - EMA(Open, 400))) > High) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42)))) AND LinRegSlope((Low + Close), 7) > 1)",87.7358,1084.31,10.2293,11.8918,1.6639,189.3952,-5.2017,22.0926,1.3974,5.2017,208.4518,2,0.4832,13.4429,51.1273,320.5848,0.9455,0.2,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((LinRegSlope((Open * 4.4), 50) < LinRegSlope(High, 50) AND 1 > (Open / EMA(Close, 50))) AND (StdDev(Close, 100) + (Open + High)) crosses below ((Close + High) + (EMA(Open, 21) - EMA(Open, 42)))) AND ((Close + High) - Open) crosses above High)",88.9908,827.64,7.5930,8.7331,1.6221,47.9328,-4.1354,9.1787,1.2244,4.1354,200.1359,2,0.8205,11.2599,43.5178,208.4914,0.9967,0.2,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((LinRegSlope(Open, 14) < LinRegSlope((Open - Low), 7) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))) AND (((Open - Min(Open, 7)) / (Max(Open, 7) - Min(Open, 7))) / Open) < LinRegSlope(Close, 100)) AND 1 > (High / SMA(High, 14))) AND (Close + (EMA(Close, 14) - EMA(Close, 28))) < Open)",35.5085,1022.33,0.3549,6.6331,3.1019,88.7563,-64.2310,10.6937,3.7356,701.5434,1.4573,34,0.0420,0.0910,1.1774,0.8940,0.5025,4.1,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND 0 > LinRegSlope((Low - Open), 7)) AND Close < (SMA(Low, 14) + (StdDev(Low, 14) * 2))) AND 1 > LinRegSlope((High * 3.8), 200)) AND (Close + (EMA(Close, 14) - EMA(Close, 28))) < Open)",38.8284,2271.47,0.6687,7.4906,3.6615,128.7629,-36.8789,10.7882,3.8733,318.2308,7.1378,18,0.0730,0.1604,1.2985,1.0315,0.8882,4.9,5,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND 1 < LinRegSlope((Low * 3.8), 100)) AND ((High * 4.8) / (Low - Open)) < LinRegSlope((Low + Low), 200)) AND LinRegSlope((Open + Open), 21) < 1)",43.9397,7844.13,1.4605,8.0227,3.6830,204.7724,-64.2310,12.9823,3.8526,510.9379,15.3524,60,0.1355,0.3660,1.7074,1.6342,0.9419,7.7,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Open * 4) / (EMA(Close, 14) - EMA(Close, 28))) < 1 AND (Open - Low) < ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND Close < High)",47.0049,8023.95,1.5021,6.0737,2.5529,105.3583,-58.8082,7.8546,2.7326,127.4493,62.9580,26,0.2093,0.5518,2.1102,2.3599,0.9871,7.6,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(LinRegSlope((High - Low), 7) crosses above LinRegSlope(Close, 100) AND ((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))))",51.6502,5861.56,1.9944,6.3365,2.6441,189.3952,-24.7827,9.7440,2.4133,71.4322,82.0577,17,0.2350,0.8012,2.5600,3.1687,0.9762,4.2,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
